t,pulse_1,pulse_2,pulse_3,pulse_4,pulse_5,angle_rad_1,angle_rad_2,angle_rad_3,angle_rad_4,angle_rad_5,torque_state_1,torque_state_2,torque_state_3,torque_state_4,torque_state_5
1767773496.983388,474,683,-3,455,504,-0.108909,-2.337345,2.106961,-1.382301,0.016755,1,1,1,1,1
1767773497.037139,474,686,-3,454,506,-0.108909,-2.349911,2.106961,-1.378112,0.025133,1,1,1,1,1
1767773497.089158,473,682,-4,454,504,-0.113097,-2.333156,2.111150,-1.378112,0.016755,1,1,1,1,1
1767773497.141137,473,682,-3,454,504,-0.113097,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773497.193301,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773497.245545,474,682,-6,454,504,-0.108909,-2.333156,2.119528,-1.378112,0.016755,1,1,1,1,1
1767773497.297353,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773497.349924,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773497.401970,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773497.454089,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773497.506063,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773497.559544,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773497.611202,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773497.663126,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773497.715224,474,682,-4,454,504,-0.108909,-2.333156,2.111150,-1.378112,0.016755,1,1,1,1,1
1767773497.768090,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773497.820639,474,682,-1,454,504,-0.108909,-2.333156,2.098584,-1.378112,0.016755,1,1,1,1,1
1767773497.872734,474,682,-2,454,504,-0.108909,-2.333156,2.102773,-1.378112,0.016755,1,1,1,1,1
1767773497.925370,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773497.977606,474,682,-3,455,504,-0.108909,-2.333156,2.106961,-1.382301,0.016755,1,1,1,1,1
1767773498.029850,474,682,-3,455,504,-0.108909,-2.333156,2.106961,-1.382301,0.016755,1,1,1,1,1
1767773498.081683,474,682,-4,454,504,-0.108909,-2.333156,2.111150,-1.378112,0.016755,1,1,1,1,1
1767773498.134330,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773498.186052,474,682,-3,455,504,-0.108909,-2.333156,2.106961,-1.382301,0.016755,1,1,1,1,1
1767773498.237840,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773498.290011,474,682,-4,454,504,-0.108909,-2.333156,2.111150,-1.378112,0.016755,1,1,1,1,1
1767773498.341970,474,682,-4,454,504,-0.108909,-2.333156,2.111150,-1.378112,0.016755,1,1,1,1,1
1767773498.393927,474,682,-3,455,504,-0.108909,-2.333156,2.106961,-1.382301,0.016755,1,1,1,1,1
1767773498.446571,474,682,-3,455,504,-0.108909,-2.333156,2.106961,-1.382301,0.016755,1,1,1,1,1
1767773498.498485,474,682,-3,455,504,-0.108909,-2.333156,2.106961,-1.382301,0.016755,1,1,1,1,1
1767773498.550686,474,682,-3,455,504,-0.108909,-2.333156,2.106961,-1.382301,0.016755,1,1,1,1,1
1767773498.602679,474,682,-4,454,504,-0.108909,-2.333156,2.111150,-1.378112,0.016755,1,1,1,1,1
1767773498.654550,474,682,-3,454,504,-0.108909,-2.333156,2.106961,-1.378112,0.016755,1,1,1,1,1
1767773498.706638,474,682,-3,455,504,-0.108909,-2.333156,2.106961,-1.382301,0.016755,1,1,1,1,1
