t,pulse_1,pulse_2,pulse_3,pulse_4,pulse_5,deg_1,deg_2,deg_3,deg_4,deg_5
1767774177.895034,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774178.132271,474,760,-3,452,504,-6.2400,-152.4000,120.7200,-78.4800,0.9600
1767774178.274792,474,760,-3,452,504,-6.2400,-152.4000,120.7200,-78.4800,0.9600
1767774178.395861,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774178.541001,474,759,-4,452,504,-6.2400,-152.1600,120.9600,-78.4800,0.9600
1767774178.646080,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774178.747933,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774178.849117,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774178.962529,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774179.069417,474,759,-4,452,504,-6.2400,-152.1600,120.9600,-78.4800,0.9600
1767774179.171053,474,759,-3,452,504,-6.2400,-152.1600,120.7200,-78.4800,0.9600
1767774179.308264,474,759,-2,452,504,-6.2400,-152.1600,120.4800,-78.4800,0.9600
1767774179.440376,473,759,-3,452,504,-6.4800,-152.1600,120.7200,-78.4800,0.9600
1767774179.580977,473,759,-3,452,504,-6.4800,-152.1600,120.7200,-78.4800,0.9600
1767774179.772613,473,757,-3,452,504,-6.4800,-151.6800,120.7200,-78.4800,0.9600
1767774179.878947,473,757,-3,452,504,-6.4800,-151.6800,120.7200,-78.4800,0.9600
1767774179.979109,472,757,-3,452,504,-6.7200,-151.6800,120.7200,-78.4800,0.9600
1767774180.153914,472,759,-2,452,504,-6.7200,-152.1600,120.4800,-78.4800,0.9600
1767774180.253987,472,759,-3,452,504,-6.7200,-152.1600,120.7200,-78.4800,0.9600
1767774180.355309,472,759,-4,452,504,-6.7200,-152.1600,120.9600,-78.4800,0.9600
1767774180.456644,473,759,-3,452,504,-6.4800,-152.1600,120.7200,-78.4800,0.9600
1767774180.635976,472,759,-3,452,504,-6.7200,-152.1600,120.7200,-78.4800,0.9600
1767774180.742920,473,759,-3,452,504,-6.4800,-152.1600,120.7200,-78.4800,0.9600
1767774180.870197,472,759,-3,452,504,-6.7200,-152.1600,120.7200,-78.4800,0.9600
1767774181.095018,472,759,-3,452,504,-6.7200,-152.1600,120.7200,-78.4800,0.9600
1767774181.286980,472,760,-4,452,504,-6.7200,-152.4000,120.9600,-78.4800,0.9600
1767774181.392120,472,759,-3,452,504,-6.7200,-152.1600,120.7200,-78.4800,0.9600
1767774181.496797,472,759,-4,452,504,-6.7200,-152.1600,120.9600,-78.4800,0.9600
1767774181.759306,473,759,-3,452,504,-6.4800,-152.1600,120.7200,-78.4800,0.9600
1767774181.912847,473,759,-3,452,504,-6.4800,-152.1600,120.7200,-78.4800,0.9600
1767774182.030540,473,759,-3,452,504,-6.4800,-152.1600,120.7200,-78.4800,0.9600
1767774182.257874,472,759,-3,452,504,-6.7200,-152.1600,120.7200,-78.4800,0.9600
1767774182.501873,473,759,-3,452,504,-6.4800,-152.1600,120.7200,-78.4800,0.9600
1767774182.700904,473,759,-3,452,504,-6.4800,-152.1600,120.7200,-78.4800,0.9600
1767774182.876567,472,759,-3,452,504,-6.7200,-152.1600,120.7200,-78.4800,0.9600
1767774183.000243,473,759,-3,452,504,-6.4800,-152.1600,120.7200,-78.4800,0.9600
1767774183.155217,473,759,-4,452,504,-6.4800,-152.1600,120.9600,-78.4800,0.9600
1767774183.256614,473,759,-3,452,504,-6.4800,-152.1600,120.7200,-78.4800,0.9600
1767774183.357150,473,759,-3,452,504,-6.4800,-152.1600,120.7200,-78.4800,0.9600
1767774183.547437,473,759,-3,452,504,-6.4800,-152.1600,120.7200,-78.4800,0.9600
1767774183.672502,473,759,-2,452,504,-6.4800,-152.1600,120.4800,-78.4800,0.9600
1767774183.814225,473,759,-4,452,504,-6.4800,-152.1600,120.9600,-78.4800,0.9600
1767774183.996933,473,759,-3,452,504,-6.4800,-152.1600,120.7200,-78.4800,0.9600
1767774184.097203,473,759,-3,452,504,-6.4800,-152.1600,120.7200,-78.4800,0.9600
1767774184.352212,473,759,-3,452,504,-6.4800,-152.1600,120.7200,-78.4800,0.9600
1767774184.490922,473,759,-3,452,504,-6.4800,-152.1600,120.7200,-78.4800,0.9600
1767774184.737278,473,759,-3,452,504,-6.4800,-152.1600,120.7200,-78.4800,0.9600
1767774184.995928,473,759,-3,452,504,-6.4800,-152.1600,120.7200,-78.4800,0.9600
1767774185.145849,473,759,-4,452,504,-6.4800,-152.1600,120.9600,-78.4800,0.9600
1767774185.246879,473,759,-3,452,504,-6.4800,-152.1600,120.7200,-78.4800,0.9600
1767774185.426434,473,759,-3,452,504,-6.4800,-152.1600,120.7200,-78.4800,0.9600
1767774185.565843,473,759,-2,452,504,-6.4800,-152.1600,120.4800,-78.4800,0.9600
1767774185.738352,473,759,-3,452,504,-6.4800,-152.1600,120.7200,-78.4800,0.9600
1767774185.876320,473,759,-3,452,504,-6.4800,-152.1600,120.7200,-78.4800,0.9600
